2002-01-01,2002,1,1,2,火,Tuesday,元日
2002-01-14,2002,1,14,1,月,Monday,成人の日
2002-02-11,2002,2,11,1,月,Monday,建国記念の日
2002-03-21,2002,3,21,4,木,Thursday,春分の日
2002-04-29,2002,4,29,1,月,Monday,みどりの日
2002-05-03,2002,5,3,5,金,Friday,憲法記念日
2002-05-04,2002,5,4,6,土,Saturday,国民の休日 (憲法記念日とこどもの日)
2002-05-05,2002,5,5,0,日,Sunday,こどもの日
2002-05-06,2002,5,6,1,月,Monday,振替休日
2002-07-20,2002,7,20,6,土,Saturday,海の日
2002-09-15,2002,9,15,0,日,Sunday,敬老の日
2002-09-16,2002,9,16,1,月,Monday,振替休日
2002-09-23,2002,9,23,1,月,Monday,秋分の日
2002-10-14,2002,10,14,1,月,Monday,体育の日
2002-11-03,2002,11,3,0,日,Sunday,文化の日
2002-11-04,2002,11,4,1,月,Monday,振替休日
2002-11-23,2002,11,23,6,土,Saturday,勤労感謝の日
2002-12-23,2002,12,23,1,月,Monday,天皇誕生日
