2015-01-01,2015,1,1,4,木,Thursday,元日
2015-01-12,2015,1,12,1,月,Monday,成人の日
2015-02-11,2015,2,11,3,水,Wednesday,建国記念の日
2015-03-21,2015,3,21,6,土,Saturday,春分の日
2015-04-29,2015,4,29,3,水,Wednesday,昭和の日
2015-05-03,2015,5,3,0,日,Sunday,憲法記念日
2015-05-04,2015,5,4,1,月,Monday,みどりの日
2015-05-05,2015,5,5,2,火,Tuesday,こどもの日
2015-05-06,2015,5,6,3,水,Wednesday,振替休日 (日曜日/こどもの日)
2015-07-20,2015,7,20,1,月,Monday,海の日
2015-09-21,2015,9,21,1,月,Monday,敬老の日
2015-09-22,2015,9,22,2,火,Tuesday,国民の休日 (敬老の日/秋分の日)
2015-09-23,2015,9,23,3,水,Wednesday,秋分の日
2015-10-12,2015,10,12,1,月,Monday,体育の日
2015-11-03,2015,11,3,2,火,Tuesday,文化の日
2015-11-23,2015,11,23,1,月,Monday,勤労感謝の日
2015-12-23,2015,12,23,3,水,Wednesday,天皇誕生日
