2042-01-01,2042,1,1,3,水,Wednesday,元日
2042-01-13,2042,1,13,1,月,Monday,成人の日
2042-02-11,2042,2,11,2,火,Tuesday,建国記念の日
2042-04-29,2042,4,29,2,火,Tuesday,昭和の日
2042-05-03,2042,5,3,6,土,Saturday,憲法記念日
2042-05-04,2042,5,4,0,日,Sunday,みどりの日
2042-05-05,2042,5,5,1,月,Monday,こどもの日
2042-05-06,2042,5,6,2,火,Tuesday,振替休日
2042-07-21,2042,7,21,1,月,Monday,海の日
2042-08-11,2042,8,11,1,月,Monday,山の日
2042-09-15,2042,9,15,1,月,Monday,敬老の日
2042-10-13,2042,10,13,1,月,Monday,体育の日
2042-11-03,2042,11,3,1,月,Monday,文化の日
2042-11-23,2042,11,23,0,日,Sunday,勤労感謝の日
2042-11-24,2042,11,24,1,月,Monday,振替休日
2042-12-23,2042,12,23,2,火,Tuesday,天皇誕生日
