2050-01-01,2050,1,1,6,土,Saturday,元日
2050-01-10,2050,1,10,1,月,Monday,成人の日
2050-02-11,2050,2,11,5,金,Friday,建国記念の日
2050-03-21,2050,3,21,1,月,Monday,振替休日
2050-04-29,2050,4,29,5,金,Friday,昭和の日
2050-05-03,2050,5,3,2,火,Tuesday,憲法記念日
2050-05-04,2050,5,4,3,水,Wednesday,みどりの日
2050-05-05,2050,5,5,4,木,Thursday,こどもの日
2050-07-18,2050,7,18,1,月,Monday,海の日
2050-08-11,2050,8,11,4,木,Thursday,山の日
2050-09-19,2050,9,19,1,月,Monday,敬老の日
2050-10-10,2050,10,10,1,月,Monday,体育の日
2050-11-03,2050,11,3,4,木,Thursday,文化の日
2050-11-23,2050,11,23,3,水,Wednesday,勤労感謝の日
2050-12-23,2050,12,23,5,金,Friday,天皇誕生日
